Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12
东帝汶,125.8666,-8.685,10453,16431.6,13259.7,13239,14294.876,19127.525,26043,27998,26179.234
乌兹别克斯坦,64.5669,41.5328,222876.1,200755.1,274942.3,394473.1,503208.84,513871.62,588165,742371,1238903.8
也门,48.3973,15.6352,142996.8,169240.7,164303.8,187460.8,281902.9,288133.62,257011,275731,267623.25
亚美尼亚,44.649,40.2846,11240,11119.4,14385.2,21318.4,22309.338,22279.355,33098,47953,59806.418
伊拉克,42.9392,33.2468,790922.9,754817.6,833041.5,790332.4,946132.25,1092298.1,1068987,1368657,1428758.9
伊朗,53.6883,32.4301,1777010.8,1641866.1,1858481.5,1393973.2,958998.6,849183.75,827822,932655,1007572.1
卡塔尔,51.1687,25.2614,227564.1,151636.5,168233,248241.4,240967.81,263116.6,396068,393414,363624.1
印度尼西亚,119.8704,-4.3173,3434196.5,3212612.8,3475738.5,4319140.5,4564873.5,4098122.5,6064749,7064104,6520043.5
叙利亚,38.2922,34.571,102257.3,91534.6,110281.4,127277.2,131380.75,83352.14,48235,42012,35601.703
吉尔吉斯斯坦,72.8924,41.5794,428212.3,560545.5,533680.8,555679.3,628052,286536.56,747400,1534202,1972095.9
哈萨克斯坦,60.597,53.7386,844124.1,829258.9,1156444.2,1135152.8,1272910.1,1170313.4,1395926,1624940,2469739.8
土库曼斯坦,54.6387,40.0152,81546.9,33847.9,36811.7,31692.5,43085.324,44348.86,51297,86055,95683.836
土耳其,34.9935,40.1533,1860784.1,1668951.1,1812150.8,1778859.5,1732370.5,2034648.2,2915179,3382222,3887358.8
塔吉克斯坦,71.2764,38.8644,179538.8,172509.7,130137.5,142908.2,159006.8,101684.22,168315,219681,367695.2
孟加拉国,90.2386,24.1996,1389470.8,1430222.8,1516902.1,1775305.9,1732328.6,1507569.8,2409441,2661646,2296095.5
尼泊尔,83.931,28.4207,83270.5,86626.9,96695.5,107736.8,148247.77,116747.77,194992,163855,176512.48
巴勒斯坦,35.2677,31.9556,6924.5,5930.9,6905.8,7336.1,8214.436,10045.587,12801,15585,16492.176
巴基斯坦,69.3899,29.9828,1644188.8,1723446.4,1825078.9,1693331.8,1616692.1,1535767.1,2424040,2285078,1729961.1
巴林,50.5566,26.0698,101184.6,79079.8,90251.9,113552.2,148414.66,112025.63,138083,175220,154677.69
文莱,114.7274,4.5402,140740.9,51102.6,63759.3,159194.8,64986.51,46622.43,63906,81537,85986.4
斯里兰卡,80.6267,8.4793,430404.5,428832.9,408799.6,425504.9,409060.62,384272.9,525443,369644,375548.22
新加坡,103.8201,1.3558,5194244,4451166.5,4501930,4903662.5,5479849,5762612,5510346,7942248,7696363
柬埔寨,104.6004,12.9287,376339.1,393015.5,478319.8,600752.3,798153.06,805449,1156509,1393798,1275363.5
格鲁吉亚,43.2886,42.1304,76867.5,74543.7,91261.9,109554,140174.84,127568.97,102887,123904,193407.28
沙特阿拉伯,43.5518,22.0852,2161292.8,1865528.1,1837500.8,1742803.6,2387650.5,2809529.5,3032124,3772055,4285664.5
泰国,101.0189,16.4327,3829080.5,3719508.5,3854172.8,4287871.5,4558484,5051424,6935458,7721773,7573606
科威特,47.4818,29.505,377267.1,300178.5,311277.4,331264.8,383631.97,354783.1,436847,491129,522457.25
约旦,37.4985,31.4253,342440.3,295482.5,280360.9,296948.5,367791.6,318150.88,399009,565042,508080.8
缅甸,96.3935,21.1138,965091.1,818868.1,894846.4,1054777.1,1231099.2,1254752.2,1052395,1328764,1140167.4
老挝,102.7304,19.2247,122575.8,98709.8,141935.1,145399.5,176245.38,149127.77,166677,226671,335102.28
菲律宾,120.7675,14.9953,2667079,2984266.5,3206593.2,3503664.2,4076385.2,4188171,5728534,6347102,5241335
蒙古,103.7975,46.3186,157070.1,98863.7,123561.2,164488.9,182659,161807.3,223306,286622,347221.3
越南,108.2472,14.8582,6601702,6110413,7161725,8387669,9786888,11381566,13789507,14387570,13761164
阿塞拜疆,47.6865,40.6667,43914.5,34600.2,38697.1,51592.8,61639.17,61787.01,99488,113092,155074.06
阿富汗,67.5628,34.7935,36182,43129.3,54120.6,66759,59979.95,50068.047,47445,55027,126948.914
阿曼,56.3036,19.2462,211639.3,214809,231645.3,286461.1,302094.4,307646.78,356515,413999,379800.47
阿联酋,54.0393,23.8685,3702016.5,3007252.5,2872396.5,2965124.8,3341289.5,3231034.8,4375166,5341911,5568621.5
韩国,126.9912,37.5583,10128638,9372895,10270378,10875614,11097441,11247683,14880548,16097500,14898666
马尔代夫,73.0095,3.2223,17264.8,32094,29562.6,39617.3,34798.59,27569.969,40689,44069,75829.625
马来西亚,101.7115,3.7863,4398038.5,3767177.5,4171227.8,4537598.5,5214178,5630131.5,7865488,9171921,8738285
黎巴嫩,35.8126,34.0473,228553,210071.4,201061.1,196928.4,167959.95,94562.45,150869,246163,237235.6
